Clone name,Self compatibility,Refcode,Ligule colour,Stamen colour,Sepal length,Ligule width,Ovule number,Style length
BE 10,self compatible,CEP87A,,,,,,
BE 3,self compatible,CEP87A,,,,,,
BE 8,self compatible,CEP87A,,,,,,
BE 9,self compatible,CEP87A,,,,,,
C 87 /56 [TRI],self incompatible,CEP87A,,,,,,
C SUL 3,self incompatible,CEP87A,,,,,,
C SUL 4,self incompatible,CEP87A,,,,,,
C SUL 9,self incompatible,CEP87A,,,,,,
CA 2 [BRA],self incompatible,CEP87A,,,,,,
CA 4 [BRA],self incompatible,CEP87A,,,,,,
CA 5 [BRA],self compatible,CEP87A,,,,,,
CA 6 [BRA],self compatible,CEP87A,,,,,,
CAS 1,self incompatible,CEP87A,,,,,,
CAS 2,self incompatible,CEP87A,,,,,,
CC 10,self compatible,CEP87A,,,,,,
CC 17,self compatible,CEP87A,,,,,,
CC 18,self compatible,CEP87A,,,,,,
CC 34,self compatible,CEP87A,,,,,,
CC 37,self compatible,CEP87A,,,,,,
CC 38,self compatible,CEP87A,,,,,,
CC 39,self compatible,CEP87A,,,,,,
CC 40,self compatible,CEP87A,,,,,,
CC 41,self compatible,CEP87A,,,,,,
CC 45,self compatible,CEP87A,,,,,,
CC 57,self incompatible,CEP87A,,,,,,
CC 67,self incompatible,CEP87A,,,,,,
CEPEC 1,self compatible,CEP87A,,,,,,
CJ 7 [BRA],self compatible,CEP87A,,,,,,
EEG 13,self incompatible,CEP87A,,,,,,
EEG 14,self compatible,CEP87A,,,,,,
EEG 25,self compatible,CEP87A,,,,,,
EEG 27,self compatible,CEP87A,,,,,,
EEG 29,self compatible,CEP87A,,,,,,
EEG 39,self compatible,CEP87A,,,,,,
EEG 48,self compatible,CEP87A,,,,,,
EEG 50,self compatible,CEP87A,,,,,,
EEG 64,self compatible,CEP87A,,,,,,
EEG 65,self incompatible,CEP87A,,,,,,
EEG 8,self compatible,CEP87A,,,,,,
EEG 9,self compatible,CEP87A,,,,,,
EET 376 [ECU],self incompatible,CEP87A,,,,,,
EET 377 [ECU],self incompatible,CEP87A,,,,,,
EET 390 [ECU],self incompatible,CEP87A,,,,,,
EET 392 [ECU],self incompatible,CEP87A,,,,,,
EET 397 [ECU],self incompatible,CEP87A,,,,,,
EET 59 [ECU],self incompatible,CEP87A,,,,,,
EET 62 [ECU],self compatible,CEP87A,,,,,,
EET 94 [ECU],self compatible,CEP87A,,,,,,
EET 96 [ECU],self compatible,CEP87A,,,,,,
GS 17,self incompatible,CEP87A,,,,,,
GS 29,self incompatible,CEP87A,,,,,,
GS 36,self incompatible,CEP87A,,,,,,
ICS 1,self compatible,CEP87A,,,,,,
ICS 100,self incompatible,CEP87A,,,,,,
ICS 16,self incompatible,CEP87A,,,,,,
ICS 32,self incompatible,CEP87A,,,,,,
ICS 39,self incompatible,CEP87A,,,,,,
ICS 40,self incompatible,CEP87A,,,,,,
ICS 47,self incompatible,CEP87A,,,,,,
ICS 48,self incompatible,CEP87A,,,,,,
ICS 55,self compatible,CEP87A,,,,,,
ICS 6,self compatible,CEP87A,,,,,,
ICS 60,self incompatible,CEP87A,,,,,,
ICS 75,self incompatible,CEP87A,,,,,,
ICS 78,self incompatible,CEP87A,,,,,,
ICS 8,self compatible,CEP87A,,,,,,
ICS 89,self incompatible,CEP87A,,,,,,
ICS 9,self compatible,CEP87A,,,,,,
ICS 95,self compatible,CEP87A,,,,,,
ICS 98,self compatible,CEP87A,,,,,,
IMC 67,self incompatible,CEP87A,,,,,,
MA 11 [BRA],self incompatible,CEP87A,,,,,,
MA 12 [BRA],self incompatible,CEP87A,,,,,,
MA 13 [BRA],self incompatible,CEP87A,,,,,,
MA 14 [BRA],self incompatible,CEP87A,,,,,,
MA 15 [BRA],self incompatible,CEP87A,,,,,,
NA 33,self incompatible,CEP87A,,,,,,
NA 691,self incompatible,CEP87A,,,,,,
OC 61 [VEN],self compatible,CEP87A,,,,,,
OC 77 [VEN],self compatible,CEP87A,,,,,,
PA 13 [PER],self incompatible,CEP87A,,,,,,
PA 148 [PER],self incompatible,CEP87A,,,,,,
PA 15 [PER],self incompatible,CEP87A,,,,,,
PA 150 [PER],self incompatible,CEP87A,,,,,,
PA 16 [PER],self incompatible,CEP87A,,,,,,
PA 169 [PER],self incompatible,CEP87A,,,,,,
PA 195 [PER],self incompatible,CEP87A,,,,,,
PA 285 [PER],self incompatible,CEP87A,,,,,,
PA 30 [PER],self incompatible,CEP87A,,,,,,
PA 46 [PER],self incompatible,CEP87A,,,,,,
PA 81 [PER],self incompatible,CEP87A,,,,,,
PLAYA ALTA 4 [VEN],self incompatible,CEP87A,,,,,,
POUND 11,self incompatible,CEP87A,,,,,,
POUND 12,self incompatible,CEP87A,,,,,,
POUND 16,self incompatible,CEP87A,,,,,,
POUND 19,self incompatible,CEP87A,,,,,,
POUND 20,self incompatible,CEP87A,,,,,,
POUND 21,self incompatible,CEP87A,,,,,,
POUND 25,self incompatible,CEP87A,,,,,,
POUND 32,self compatible,CEP87A,,,,,,
POUND 7,self incompatible,CEP87A,,,,,,
PQTO 87 [VEN],self compatible,CEP87A,,,,,,
RB 29 [BRA],self incompatible,CEP87A,,,,,,
RB 31 [BRA],self incompatible,CEP87A,,,,,,
RB 33 [BRA],self incompatible,CEP87A,,,,,,
RB 38 [BRA],self incompatible,CEP87A,,,,,,
RB 40 [BRA],self incompatible,CEP87A,,,,,,
RB 45 [BRA],self incompatible,CEP87A,,,,,,
RB 47 [BRA],self incompatible,CEP87A,,,,,,
RB 48 [BRA],self incompatible,CEP87A,,,,,,
RB 49 [BRA],self incompatible,CEP87A,,,,,,
RIM 10 [MEX],self compatible,CEP87A,,,,,,
RIM 2 [MEX],self incompatible,CEP87A,,,,,,
SC 24 [COL],self compatible,CEP87A,,,,,,
SC 25 [COL],self compatible,CEP87A,,,,,,
SC 5 [COL],self compatible,CEP87A,,,,,,
SCA 6,self incompatible,CEP87A,,,,,,
SCR 4,self compatible,CEP87A,,,,,,
SGU 26,self compatible,CEP87A,,,,,,
SIAL 105,self compatible,CEP87A,,,,,,
SIAL 13,self compatible,CEP87A,,,,,,
SIAL 130,self compatible,CEP87A,,,,,,
SIAL 15,self compatible,CEP87A,,,,,,
SIAL 163,self compatible,CEP87A,,,,,,
SIAL 164,self compatible,CEP87A,,,,,,
SIAL 169,self compatible,CEP87A,,,,,,
SIAL 2,self compatible,CEP87A,,,,,,
SIAL 20,self compatible,CEP87A,,,,,,
SIAL 207,self compatible,CEP87A,,,,,,
SIAL 244,self compatible,CEP87A,,,,,,
SIAL 253,self compatible,CEP87A,,,,,,
SIAL 283,self compatible,CEP87A,,,,,,
SIAL 3,self compatible,CEP87A,,,,,,
SIAL 325,self compatible,CEP87A,,,,,,
SIAL 357,self compatible,CEP87A,,,,,,
SIAL 407,self compatible,CEP87A,,,,,,
SIAL 495,self compatible,CEP87A,,,,,,
SIAL 505,self compatible,CEP87A,,,,,,
SIAL 512,self compatible,CEP87A,,,,,,
SIAL 542,self compatible,CEP87A,,,,,,
SIAL 543,self compatible,CEP87A,,,,,,
SIAL 577,self compatible,CEP87A,,,,,,
SIAL 578,self compatible,CEP87A,,,,,,
SIAL 580,self compatible,CEP87A,,,,,,
SIAL 581,self compatible,CEP87A,,,,,,
SIAL 638,self compatible,CEP87A,,,,,,
SIAL 644,self compatible,CEP87A,,,,,,
SIAL 659,self compatible,CEP87A,,,,,,
SIAL 689,self compatible,CEP87A,,,,,,
SIAL 698,self compatible,CEP87A,,,,,,
SIAL 70,self compatible,CEP87A,,,,,,
SIAL 73,self compatible,CEP87A,,,,,,
SIAL 756,self compatible,CEP87A,,,,,,
SIAL 83,self compatible,CEP87A,,,,,,
SIAL 84,self compatible,CEP87A,,,,,,
SIAL 88,self compatible,CEP87A,,,,,,
SIAL 910,self compatible,CEP87A,,,,,,
SIAL 912,self compatible,CEP87A,,,,,,
SIAL 93,self compatible,CEP87A,,,,,,
SIAL 98,self compatible,CEP87A,,,,,,
SIC 17,self compatible,CEP87A,,,,,,
SIC 18,self compatible,CEP87A,,,,,,
SIC 19,self compatible,CEP87A,,,,,,
SIC 2,self compatible,CEP87A,,,,,,
SIC 20,self compatible,CEP87A,,,,,,
SIC 21,self compatible,CEP87A,,,,,,
SIC 22,self compatible,CEP87A,,,,,,
SIC 23,self compatible,CEP87A,,,,,,
SIC 24,self compatible,CEP87A,,,,,,
