Clone name,Colour
B 17 /4 [POU],moderate anthocyanin
B 17 /5 [POU],slight anthocyanin
B 18 /1 [POU],moderate anthocyanin
B 18 /4 [POU],moderate anthocyanin
B 18 /5 [POU],anthocyanin absent
B 18 /8 [POU],slight anthocyanin
B 18 /9 [POU],moderate anthocyanin
B 2 /16 [POU],slight anthocyanin
B 2 /8 [POU],moderate anthocyanin
B 20 /1 [POU],slight anthocyanin
B 20 /2 [POU],slight anthocyanin
B 21 /7 [POU],moderate anthocyanin
B 22 /15 [POU],slight anthocyanin
B 22 /16 [POU],moderate anthocyanin
B 22 /17 [POU],moderate anthocyanin
B 22 /3 [POU],intense anthocyanin
B 22 /5 [POU],moderate anthocyanin
B 22 /7 [POU],slight anthocyanin
B 22 /8 [POU],slight anthocyanin
B 23 /1 [POU],moderate anthocyanin
B 23 /2 [POU],slight anthocyanin
B 23 /4 [POU],intense anthocyanin
B 23 /6 [POU],intense anthocyanin
B 23 /9 [POU],slight anthocyanin
B 4 /8 [POU],slight anthocyanin
B 5 /10 [POU],slight anthocyanin
B 5 /11 [POU],slight anthocyanin
B 5 /2 [POU],slight anthocyanin
B 5 /3 [POU],moderate anthocyanin
B 5 /5 [POU],slight anthocyanin
B 5 /7 [POU],slight anthocyanin
B 6 /2 [POU],slight anthocyanin
B 6 /29 [POU],intense anthocyanin
B 6 /3 [POU],moderate anthocyanin
B 6 /5 [POU],slight anthocyanin
B 6 /8 [POU],slight anthocyanin
B 7 /1 [POU],slight anthocyanin
B 7 /14 [POU],slight anthocyanin
B 7 /15 [POU],slight anthocyanin
B 7 /16 [POU],intense anthocyanin
B 7 /17 [POU],anthocyanin absent
B 7 /18 [POU],slight anthocyanin
B 7 /21 [POU],slight anthocyanin
B 7 /3 [POU],slight anthocyanin
B 7 /4 [POU],slight anthocyanin
B 8 /4 [POU],moderate anthocyanin
B 8 /5 [POU],slight anthocyanin
B 8 /8 [POU],moderate anthocyanin
B 8 /9 [POU],anthocyanin absent
B 9 /10-12 [POU],slight anthocyanin
B 9 /10-18 [POU],slight anthocyanin
B 9 /10-23 [POU],slight anthocyanin
B 9 /10-25 [POU],slight anthocyanin
B 9 /10-28 [POU],moderate anthocyanin
B 9 /10-30 [POU],anthocyanin absent
B 9 /10-32 [POU],slight anthocyanin
B 9 /10-33 [POU],slight anthocyanin
B 9 /10-34 [POU],slight anthocyanin
B 9 /10-35 [POU],moderate anthocyanin
B 9 /10-43 [POU],moderate anthocyanin
B 9 /10-46 [POU],slight anthocyanin
B 9 /10-8 [POU],slight anthocyanin
B 97 17 /B-4 [BLZ],slight anthocyanin
B 97 61 /B-1 [BLZ],slight anthocyanin
B 97 61 /B-2 [BLZ],slight anthocyanin
B 97 61 /B-5 [BLZ],slight anthocyanin
B 97 61 /B-6 [BLZ],slight anthocyanin
